Datetime,forecast_vol,adaptive_thresh
2024-11-29 11:45:00,-0.0003232537049587896,-0.00021406034255100118
2024-11-29 12:00:00,-0.00037302092682984893,-0.0002141641212692608
2024-11-29 12:15:00,-0.00037175229187839227,-0.00021428134732906975
2024-11-29 12:30:00,-0.00036937875839667734,-0.00021448508293667848
2024-11-29 12:45:00,-0.000369381300592264,-0.00021482763668901895
2024-11-29 13:00:00,-0.00036976327461145635,-0.00021511055396938669
2024-11-29 13:15:00,-0.00037082782443840774,-0.00021545652878871845
2024-11-29 13:30:00,-0.0003695736970442166,-0.00021585395369344646
2024-11-29 13:45:00,-0.0003718441686482699,-0.00021691301583583086
2024-11-29 14:00:00,-0.00037200739126789996,-0.00021764197393285266
2024-11-29 14:15:00,-0.00037301738117157153,-0.00021820233615186827
2024-11-29 14:30:00,-0.0003710660225964117,-0.00021889000505526378
